7.2.6 mu	C2	C3	7.2.6 K(mu)	7.2.6(e)	Control	Experimental	Difference	Control - 400	Experimental - 400	Ctrl > 400	Expr > 400	C21	7.2.4  mu	C23	C24	C25	7.2.4  K(mu)
7.340000000e+002	-6.506000000e+001	-2.323571429e+000	1.007423762e-002									8.340000000e+002	8.340000000e+001	-4.000000000e-001	-2.000000000e-001	4.207402906e-001	5.792597094e-001
7.350000000e+002	-6.606000000e+001	-2.359285714e+000	9.155076130e-003									8.350000000e+002	8.350000000e+001	-5.000000000e-001	-2.500000000e-001	4.012936744e-001	5.987063256e-001
7.360000000e+002	-6.706000000e+001	-2.395000000e+000	8.310182636e-003									8.360000000e+002	8.360000000e+001	-6.000000000e-001	-3.000000000e-001	3.820885780e-001	6.179114220e-001
7.370000000e+002	-6.806000000e+001	-2.430714286e+000	7.534546160e-003									8.370000000e+002	8.370000000e+001	-7.000000000e-001	-3.500000000e-001	3.631693492e-001	6.368306508e-001
7.380000000e+002	-6.906000000e+001	-2.466428571e+000	6.823397173e-003									8.380000000e+002	8.380000000e+001	-8.000000000e-001	-4.000000000e-001	3.445782589e-001	6.554217411e-001
7.390000000e+002	-7.006000000e+001	-2.502142857e+000	6.172205140e-003									8.390000000e+002	8.390000000e+001	-9.000000000e-001	-4.500000000e-001	3.263552210e-001	6.736447790e-001
7.400000000e+002	-7.106000000e+001	-2.537857143e+000	5.576675100e-003									8.400000000e+002	8.400000000e+001	-1.000000000e+000	-5.000000000e-001	3.085375397e-001	6.914624603e-001
7.410000000e+002	-7.206000000e+001	-2.573571429e+000	5.032743388e-003									8.410000000e+002	8.410000000e+001	-1.100000000e+000	-5.500000000e-001	2.911596880e-001	7.088403120e-001
7.420000000e+002	-7.306000000e+001	-2.609285714e+000	4.536572593e-003									8.420000000e+002	8.420000000e+001	-1.200000000e+000	-6.000000000e-001	2.742531193e-001	7.257468807e-001
7.430000000e+002	-7.406000000e+001	-2.645000000e+000	4.084545852e-003									8.430000000e+002	8.430000000e+001	-1.300000000e+000	-6.500000000e-001	2.578461128e-001	7.421538872e-001
7.440000000e+002	-7.506000000e+001	-2.680714286e+000	3.673260568e-003									8.440000000e+002	8.440000000e+001	-1.400000000e+000	-7.000000000e-001	2.419636547e-001	7.580363453e-001
7.450000000e+002	-7.606000000e+001	-2.716428571e+000	3.299521651e-003									8.450000000e+002	8.450000000e+001	-1.500000000e+000	-7.500000000e-001	2.266273554e-001	7.733726446e-001
7.460000000e+002	-7.706000000e+001	-2.752142857e+000	2.960334347e-003									8.460000000e+002	8.460000000e+001	-1.600000000e+000	-8.000000000e-001	2.118554022e-001	7.881445978e-001
7.470000000e+002	-7.806000000e+001	-2.787857143e+000	2.652896757e-003									8.470000000e+002	8.470000000e+001	-1.700000000e+000	-8.500000000e-001	1.976625474e-001	8.023374526e-001
7.480000000e+002	-7.906000000e+001	-2.823571429e+000	2.374592112e-003									8.480000000e+002	8.480000000e+001	-1.800000000e+000	-9.000000000e-001	1.840601304e-001	8.159398696e-001
7.490000000e+002	-8.006000000e+001	-2.859285714e+000	2.122980862e-003									8.490000000e+002	8.490000000e+001	-1.900000000e+000	-9.500000000e-001	1.710561321e-001	8.289438679e-001
7.500000000e+002	-8.106000000e+001	-2.895000000e+000	1.895792663e-003									8.500000000e+002	8.500000000e+001	-2.000000000e+000	-1.000000000e+000	1.586552606e-001	8.413447394e-001
												8.510000000e+002	8.510000000e+001	-2.100000000e+000	-1.050000000e+000	1.468590640e-001	8.531409360e-001
												8.520000000e+002	8.520000000e+001	-2.200000000e+000	-1.100000000e+000	1.356660696e-001	8.643339304e-001
												8.530000000e+002	8.530000000e+001	-2.300000000e+000	-1.150000000e+000	1.250719454e-001	8.749280546e-001
												8.540000000e+002	8.540000000e+001	-2.400000000e+000	-1.200000000e+000	1.150696811e-001	8.849303189e-001
												8.550000000e+002	8.550000000e+001	-2.500000000e+000	-1.250000000e+000	1.056497858e-001	8.943502142e-001
												8.560000000e+002	8.560000000e+001	-2.600000000e+000	-1.300000000e+000	9.680048459e-002	9.031995154e-001
												8.570000000e+002	8.570000000e+001	-2.700000000e+000	-1.350000000e+000	8.850799144e-002	9.114920086e-001
												8.580000000e+002	8.580000000e+001	-2.800000000e+000	-1.400000000e+000	8.075665924e-002	9.192433408e-001
												8.590000000e+002	8.590000000e+001	-2.900000000e+000	-1.450000000e+000	7.352925961e-002	9.264707404e-001
												8.600000000e+002	8.600000000e+001	-3.000000000e+000	-1.500000000e+000	6.680720127e-002	9.331927987e-001
												8.610000000e+002	8.610000000e+001	-3.100000000e+000	-1.550000000e+000	6.057075800e-002	9.394292420e-001
												8.620000000e+002	8.620000000e+001	-3.200000000e+000	-1.600000000e+000	5.479929170e-002	9.452007083e-001
												8.630000000e+002	8.630000000e+001	-3.300000000e+000	-1.650000000e+000	4.947146803e-002	9.505285320e-001
												8.640000000e+002	8.640000000e+001	-3.400000000e+000	-1.700000000e+000	4.456546276e-002	9.554345372e-001
												8.650000000e+002	8.650000000e+001	-3.500000000e+000	-1.750000000e+000	4.005915686e-002	9.599408431e-001
												8.660000000e+002	8.660000000e+001	-3.600000000e+000	-1.800000000e+000	3.593031911e-002	9.640696809e-001
												8.670000000e+002	8.670000000e+001	-3.700000000e+000	-1.850000000e+000	3.215677480e-002	9.678432252e-001
												8.680000000e+002	8.680000000e+001	-3.800000000e+000	-1.900000000e+000	2.871655982e-002	9.712834402e-001
												8.690000000e+002	8.690000000e+001	-3.900000000e+000	-1.950000000e+000	2.558805952e-002	9.744119405e-001
												8.700000000e+002	8.700000000e+001	-4.000000000e+000	-2.000000000e+000	2.275013195e-002	9.772498681e-001
												8.710000000e+002	8.710000000e+001	-4.100000000e+000	-2.050000000e+000	2.018221541e-002	9.798177846e-001
												8.720000000e+002	8.720000000e+001	-4.200000000e+000	-2.100000000e+000	1.786442056e-002	9.821355794e-001
												8.730000000e+002	8.730000000e+001	-4.300000000e+000	-2.150000000e+000	1.577760739e-002	9.842223926e-001
												8.740000000e+002	8.740000000e+001	-4.400000000e+000	-2.200000000e+000	1.390344751e-002	9.860965525e-001
												8.750000000e+002	8.750000000e+001	-4.500000000e+000	-2.250000000e+000	1.222447266e-002	9.877755273e-001
												8.760000000e+002	8.760000000e+001	-4.600000000e+000	-2.300000000e+000	1.072411002e-002	9.892758900e-001
												8.770000000e+002	8.770000000e+001	-4.700000000e+000	-2.350000000e+000	9.386705535e-003	9.906132945e-001
												8.780000000e+002	8.780000000e+001	-4.800000000e+000	-2.400000000e+000	8.197535924e-003	9.918024641e-001
												8.790000000e+002	8.790000000e+001	-4.900000000e+000	-2.450000000e+000	7.142810735e-003	9.928571893e-001
												8.800000000e+002	8.800000000e+001	-5.000000000e+000	-2.500000000e+000	6.209665326e-003	9.937903347e-001
												8.810000000e+002	8.810000000e+001	-5.100000000e+000	-2.550000000e+000	5.386145954e-003	9.946138540e-001
												8.820000000e+002	8.820000000e+001	-5.200000000e+000	-2.600000000e+000	4.661188024e-003	9.953388120e-001
												8.830000000e+002	8.830000000e+001	-5.300000000e+000	-2.650000000e+000	4.024588543e-003	9.959754115e-001
												8.840000000e+002	8.840000000e+001	-5.400000000e+000	-2.700000000e+000	3.466973803e-003	9.965330262e-001
												8.850000000e+002	8.850000000e+001	-5.500000000e+000	-2.750000000e+000	2.979763235e-003	9.970202368e-001
												8.860000000e+002	8.860000000e+001	-5.600000000e+000	-2.800000000e+000	2.555130330e-003	9.974448697e-001
												8.870000000e+002	8.870000000e+001	-5.700000000e+000	-2.850000000e+000	2.185961455e-003	9.978140385e-001
												8.880000000e+002	8.880000000e+001	-5.800000000e+000	-2.900000000e+000	1.865813300e-003	9.981341867e-001
												8.890000000e+002	8.890000000e+001	-5.900000000e+000	-2.950000000e+000	1.588869647e-003	9.984111304e-001
												8.900000000e+002	8.900000000e+001	-6.000000000e+000	-3.000000000e+000	1.349898032e-003	9.986501020e-001
												8.910000000e+002	8.910000000e+001	-6.100000000e+000	-3.050000000e+000	1.144206831e-003	9.988557932e-001
												8.920000000e+002	8.920000000e+001	-6.200000000e+000	-3.100000000e+000	9.676032132e-004	9.990323968e-001
												8.930000000e+002	8.930000000e+001	-6.300000000e+000	-3.150000000e+000	8.163523128e-004	9.991836477e-001
												8.940000000e+002	8.940000000e+001	-6.400000000e+000	-3.200000000e+000	6.871379379e-004	9.993128621e-001
												8.950000000e+002	8.950000000e+001	-6.500000000e+000	-3.250000000e+000	5.770250424e-004	9.994229750e-001
												8.960000000e+002	8.960000000e+001	-6.600000000e+000	-3.300000000e+000	4.834241424e-004	9.995165759e-001
												8.970000000e+002	8.970000000e+001	-6.700000000e+000	-3.350000000e+000	4.040578019e-004	9.995959422e-001
												8.980000000e+002	8.980000000e+001	-6.800000000e+000	-3.400000000e+000	3.369292657e-004	9.996630707e-001
												8.990000000e+002	8.990000000e+001	-6.900000000e+000	-3.450000000e+000	2.802932768e-004	9.997197067e-001
												9.000000000e+002	9.000000000e+001	-7.000000000e+000	-3.500000000e+000	2.326290790e-004	9.997673709e-001
												9.010000000e+002	9.010000000e+001	-7.100000000e+000	-3.550000000e+000	1.926155756e-004	9.998073844e-001
												9.020000000e+002	9.020000000e+001	-7.200000000e+000	-3.600000000e+000	1.591085902e-004	9.998408914e-001
												9.030000000e+002	9.030000000e+001	-7.300000000e+000	-3.650000000e+000	1.311201544e-004	9.998688798e-001
												9.040000000e+002	9.040000000e+001	-7.400000000e+000	-3.700000000e+000	1.077997335e-004	9.998922003e-001
												9.050000000e+002	9.050000000e+001	-7.500000000e+000	-3.750000000e+000	8.841728520e-005	9.999115827e-001
												9.060000000e+002	9.060000000e+001	-7.600000000e+000	-3.800000000e+000	7.234804393e-005	9.999276520e-001
												9.070000000e+002	9.070000000e+001	-7.700000000e+000	-3.850000000e+000	5.905891242e-005	9.999409411e-001
												9.080000000e+002	9.080000000e+001	-7.800000000e+000	-3.900000000e+000	4.809634402e-005	9.999519037e-001
												9.090000000e+002	9.090000000e+001	-7.900000000e+000	-3.950000000e+000	3.907559660e-005	9.999609244e-001
												9.100000000e+002	9.100000000e+001	-8.000000000e+000	-4.000000000e+000	3.167124183e-005	9.999683288e-001
												9.110000000e+002	9.110000000e+001	-8.100000000e+000	-4.050000000e+000	2.560881647e-005	9.999743912e-001
												9.120000000e+002	9.120000000e+001	-8.200000000e+000	-4.100000000e+000	2.065750691e-005	9.999793425e-001
												9.130000000e+002	9.130000000e+001	-8.300000000e+000	-4.150000000e+000	1.662376373e-005	9.999833762e-001
												9.140000000e+002	9.140000000e+001	-8.400000000e+000	-4.200000000e+000	1.334574902e-005	9.999866543e-001
												9.150000000e+002	9.150000000e+001	-8.500000000e+000	-4.250000000e+000	1.068852577e-005	9.999893115e-001
												9.160000000e+002	9.160000000e+001	-8.600000000e+000	-4.300000000e+000	8.539905471e-006	9.999914601e-001
												9.170000000e+002	9.170000000e+001	-8.700000000e+000	-4.350000000e+000	6.806876599e-006	9.999931931e-001
												9.180000000e+002	9.180000000e+001	-8.800000000e+000	-4.400000000e+000	5.412543908e-006	9.999945875e-001
												9.190000000e+002	9.190000000e+001	-8.900000000e+000	-4.450000000e+000	4.293514470e-006	9.999957065e-001
												9.200000000e+002	9.200000000e+001	-9.000000000e+000	-4.500000000e+000	3.397673125e-006	9.999966023e-001
												9.210000000e+002	9.210000000e+001	-9.100000000e+000	-4.550000000e+000	2.682295780e-006	9.999973177e-001
												9.220000000e+002	9.220000000e+001	-9.200000000e+000	-4.600000000e+000	2.112454702e-006	9.999978875e-001
												9.230000000e+002	9.230000000e+001	-9.300000000e+000	-4.650000000e+000	1.659675144e-006	9.999983403e-001
												9.240000000e+002	9.240000000e+001	-9.400000000e+000	-4.700000000e+000	1.300807454e-006	9.999986992e-001
												9.250000000e+002	9.250000000e+001	-9.500000000e+000	-4.750000000e+000	1.017083243e-006	9.999989829e-001
												9.260000000e+002	9.260000000e+001	-9.600000000e+000	-4.800000000e+000	7.933281519e-007	9.999992067e-001
												9.270000000e+002	9.270000000e+001	-9.700000000e+000	-4.850000000e+000	6.173073720e-007	9.999993827e-001
												9.280000000e+002	9.280000000e+001	-9.800000000e+000	-4.900000000e+000	4.791832766e-007	9.999995208e-001
												9.290000000e+002	9.290000000e+001	-9.900000000e+000	-4.950000000e+000	3.710674079e-007	9.999996289e-001
												9.300000000e+002	9.300000000e+001	-1.000000000e+001	-5.000000000e+000	2.866515719e-007	9.999997133e-001
												9.310000000e+002	9.310000000e+001	-1.010000000e+001	-5.050000000e+000	2.209050323e-007	9.999997791e-001
												9.320000000e+002	9.320000000e+001	-1.020000000e+001	-5.100000000e+000	1.698267407e-007	9.999998302e-001
												9.330000000e+002	9.330000000e+001	-1.030000000e+001	-5.150000000e+000	1.302432295e-007	9.999998698e-001
												9.340000000e+002	9.340000000e+001	-1.040000000e+001	-5.200000000e+000	9.964426317e-008	9.999999004e-001
												9.350000000e+002	9.350000000e+001	-1.050000000e+001	-5.250000000e+000	7.604960516e-008	9.999999240e-001
												9.360000000e+002	9.360000000e+001	-1.060000000e+001	-5.300000000e+000	5.790134040e-008	9.999999421e-001
												9.370000000e+002	9.370000000e+001	-1.070000000e+001	-5.350000000e+000	4.397711594e-008	9.999999560e-001
												9.380000000e+002	9.380000000e+001	-1.080000000e+001	-5.400000000e+000	3.332044848e-008	9.999999667e-001
												9.390000000e+002	9.390000000e+001	-1.090000000e+001	-5.450000000e+000	2.518491005e-008	9.999999748e-001
												9.400000000e+002	9.400000000e+001	-1.100000000e+001	-5.500000000e+000	1.898956247e-008	9.999999810e-001
												9.410000000e+002	9.410000000e+001	-1.110000000e+001	-5.550000000e+000	1.428347989e-008	9.999999857e-001
												9.420000000e+002	9.420000000e+001	-1.120000000e+001	-5.600000000e+000	1.071759026e-008	9.999999893e-001
												9.430000000e+002	9.430000000e+001	-1.130000000e+001	-5.650000000e+000	8.022391850e-009	9.999999920e-001
												9.440000000e+002	9.440000000e+001	-1.140000000e+001	-5.700000000e+000	5.990371401e-009	9.999999940e-001
												9.450000000e+002	9.450000000e+001	-1.150000000e+001	-5.750000000e+000	4.462172454e-009	9.999999955e-001
												9.460000000e+002	9.460000000e+001	-1.160000000e+001	-5.800000000e+000	3.315745978e-009	9.999999967e-001
												9.470000000e+002	9.470000000e+001	-1.170000000e+001	-5.850000000e+000	2.457865062e-009	9.999999975e-001
												9.480000000e+002	9.480000000e+001	-1.180000000e+001	-5.900000000e+000	1.817507863e-009	9.999999982e-001
												9.490000000e+002	9.490000000e+001	-1.190000000e+001	-5.950000000e+000	1.340712444e-009	9.999999987e-001
												9.500000000e+002	9.500000000e+001	-1.200000000e+001	-6.000000000e+000	9.865876450e-010	9.999999990e-001
